"Year","Birth order","Age class of mother","Age class of father","Live births"
"2010","Third child","40-44 years","50-59 years",33
"2010","Third child","40-44 years","60-69 years",4
"2010","Third child","40-44 years","70 years or more",0
"2010","Third child","40-44 years","Unknown",0
"2010","Third child","45-49 years","Less than 20 years",0
"2010","Third child","45-49 years","20-24 years",0
"2010","Third child","45-49 years","25-29 years",0
"2010","Third child","45-49 years","30-34 years",0
"2010","Third child","45-49 years","35-39 years",1
"2010","Third child","45-49 years","40-44 years",8
"2010","Third child","45-49 years","45-49 years",7
"2010","Third child","45-49 years","50-59 years",5
"2010","Third child","45-49 years","60-69 years",0
"2010","Third child","45-49 years","70 years or more",0
"2010","Third child","45-49 years","Unknown",0
"2010","Third child","50 years or more","Less than 20 years",0
"2010","Third child","50 years or more","20-24 years",0
"2010","Third child","50 years or more","25-29 years",0
"2010","Third child","50 years or more","30-34 years",0
"2010","Third child","50 years or more","35-39 years",0
"2010","Third child","50 years or more","40-44 years",0
"2010","Third child","50 years or more","45-49 years",0
"2010","Third child","50 years or more","50-59 years",0
"2010","Third child","50 years or more","60-69 years",0
"2010","Third child","50 years or more","70 years or more",0
"2010","Third child","50 years or more","Unknown",0
"2010","Fourth child or more","Less than 20 years","Less than 20 years",0
"2010","Fourth child or more","Less than 20 years","20-24 years",0
"2010","Fourth child or more","Less than 20 years","25-29 years",0
"2010","Fourth child or more","Less than 20 years","30-34 years",0
"2010","Fourth child or more","Less than 20 years","35-39 years",0
"2010","Fourth child or more","Less than 20 years","40-44 years",0
"2010","Fourth child or more","Less than 20 years","45-49 years",0
"2010","Fourth child or more","Less than 20 years","50-59 years",0
"2010","Fourth child or more","Less than 20 years","60-69 years",0
"2010","Fourth child or more","Less than 20 years","70 years or more",0
"2010","Fourth child or more","Less than 20 years","Unknown",0
"2010","Fourth child or more","20-24 years","Less than 20 years",0
"2010","Fourth child or more","20-24 years","20-24 years",2
"2010","Fourth child or more","20-24 years","25-29 years",5
"2010","Fourth child or more","20-24 years","30-34 years",2
"2010","Fourth child or more","20-24 years","35-39 years",0
"2010","Fourth child or more","20-24 years","40-44 years",1
"2010","Fourth child or more","20-24 years","45-49 years",0
"2010","Fourth child or more","20-24 years","50-59 years",0
"2010","Fourth child or more","20-24 years","60-69 years",0
"2010","Fourth child or more","20-24 years","70 years or more",0
"2010","Fourth child or more","20-24 years","Unknown",0
"2010","Fourth child or more","25-29 years","Less than 20 years",0
"2010","Fourth child or more","25-29 years","20-24 years",0
"2010","Fourth child or more","25-29 years","25-29 years",46
"2010","Fourth child or more","25-29 years","30-34 years",88
"2010","Fourth child or more","25-29 years","35-39 years",36
"2010","Fourth child or more","25-29 years","40-44 years",24
"2010","Fourth child or more","25-29 years","45-49 years",5
"2010","Fourth child or more","25-29 years","50-59 years",0
"2010","Fourth child or more","25-29 years","60-69 years",1
"2010","Fourth child or more","25-29 years","70 years or more",0
"2010","Fourth child or more","25-29 years","Unknown",0
"2010","Fourth child or more","30-34 years","Less than 20 years",0
"2010","Fourth child or more","30-34 years","20-24 years",0
"2010","Fourth child or more","30-34 years","25-29 years",5
"2010","Fourth child or more","30-34 years","30-34 years",272
"2010","Fourth child or more","30-34 years","35-39 years",307
"2010","Fourth child or more","30-34 years","40-44 years",107
"2010","Fourth child or more","30-34 years","45-49 years",33
"2010","Fourth child or more","30-34 years","50-59 years",8
"2010","Fourth child or more","30-34 years","60-69 years",1
"2010","Fourth child or more","30-34 years","70 years or more",0
"2010","Fourth child or more","30-34 years","Unknown",0
"2010","Fourth child or more","35-39 years","Less than 20 years",0
"2010","Fourth child or more","35-39 years","20-24 years",0
"2010","Fourth child or more","35-39 years","25-29 years",2
"2010","Fourth child or more","35-39 years","30-34 years",56
"2010","Fourth child or more","35-39 years","35-39 years",366
"2010","Fourth child or more","35-39 years","40-44 years",286
"2010","Fourth child or more","35-39 years","45-49 years",74
"2010","Fourth child or more","35-39 years","50-59 years",28
"2010","Fourth child or more","35-39 years","60-69 years",2
"2010","Fourth child or more","35-39 years","70 years or more",0
"2010","Fourth child or more","35-39 years","Unknown",0
"2010","Fourth child or more","40-44 years","Less than 20 years",0
"2010","Fourth child or more","40-44 years","20-24 years",0
"2010","Fourth child or more","40-44 years","25-29 years",0
"2010","Fourth child or more","40-44 years","30-34 years",3
"2010","Fourth child or more","40-44 years","35-39 years",47
"2010","Fourth child or more","40-44 years","40-44 years",148
"2010","Fourth child or more","40-44 years","45-49 years",90
"2010","Fourth child or more","40-44 years","50-59 years",21
"2010","Fourth child or more","40-44 years","60-69 years",0
"2010","Fourth child or more","40-44 years","70 years or more",0
"2010","Fourth child or more","40-44 years","Unknown",0
"2010","Fourth child or more","45-49 years","Less than 20 years",0
"2010","Fourth child or more","45-49 years","20-24 years",0
"2010","Fourth child or more","45-49 years","25-29 years",0
"2010","Fourth child or more","45-49 years","30-34 years",0
"2010","Fourth child or more","45-49 years","35-39 years",2
"2010","Fourth child or more","45-49 years","40-44 years",4
"2010","Fourth child or more","45-49 years","45-49 years",10
"2010","Fourth child or more","45-49 years","50-59 years",9
"2010","Fourth child or more","45-49 years","60-69 years",0
"2010","Fourth child or more","45-49 years","70 years or more",0
"2010","Fourth child or more","45-49 years","Unknown",0
"2010","Fourth child or more","50 years or more","Less than 20 years",0
"2010","Fourth child or more","50 years or more","20-24 years",0
"2010","Fourth child or more","50 years or more","25-29 years",0
"2010","Fourth child or more","50 years or more","30-34 years",0
"2010","Fourth child or more","50 years or more","35-39 years",0
"2010","Fourth child or more","50 years or more","40-44 years",0
"2010","Fourth child or more","50 years or more","45-49 years",0
"2010","Fourth child or more","50 years or more","50-59 years",2
"2010","Fourth child or more","50 years or more","60-69 years",0
"2010","Fourth child or more","50 years or more","70 years or more",0
"2010","Fourth child or more","50 years or more","Unknown",0
"2010","Mother not married","Less than 20 years","Less than 20 years",101
"2010","Mother not married","Less than 20 years","20-24 years",165
"2010","Mother not married","Less than 20 years","25-29 years",50
"2010","Mother not married","Less than 20 years","30-34 years",15
"2010","Mother not married","Less than 20 years","35-39 years",6
"2010","Mother not married","Less than 20 years","40-44 years",0
"2010","Mother not married","Less than 20 years","45-49 years",1
"2010","Mother not married","Less than 20 years","50-59 years",1
"2010","Mother not married","Less than 20 years","60-69 years",0
"2010","Mother not married","Less than 20 years","70 years or more",0
"2010","Mother not married","Less than 20 years","Unknown",68
"2010","Mother not married","20-24 years","Less than 20 years",33
"2010","Mother not married","20-24 years","20-24 years",587
"2010","Mother not married","20-24 years","25-29 years",675
"2010","Mother not married","20-24 years","30-34 years",265
"2010","Mother not married","20-24 years","35-39 years",99
"2010","Mother not married","20-24 years","40-44 years",38
"2010","Mother not married","20-24 years","45-49 years",18
"2010","Mother not married","20-24 years","50-59 years",3
"2010","Mother not married","20-24 years","60-69 years",5
"2010","Mother not married","20-24 years","70 years or more",1
"2010","Mother not married","20-24 years","Unknown",201
"2010","Mother not married","25-29 years","Less than 20 years",3
"2010","Mother not married","25-29 years","20-24 years",183
"2010","Mother not married","25-29 years","25-29 years",1206
"2010","Mother not married","25-29 years","30-34 years",1131
"2010","Mother not married","25-29 years","35-39 years",474
"2010","Mother not married","25-29 years","40-44 years",189
"2010","Mother not married","25-29 years","45-49 years",67
"2010","Mother not married","25-29 years","50-59 years",29
"2010","Mother not married","25-29 years","60-69 years",3
"2010","Mother not married","25-29 years","70 years or more",0
"2010","Mother not married","25-29 years","Unknown",214
"2010","Mother not married","30-34 years","Less than 20 years",2
"2010","Mother not married","30-34 years","20-24 years",49
"2010","Mother not married","30-34 years","25-29 years",472
"2010","Mother not married","30-34 years","30-34 years",1833
"2010","Mother not married","30-34 years","35-39 years",1382
"2010","Mother not married","30-34 years","40-44 years",522
"2010","Mother not married","30-34 years","45-49 years",158
"2010","Mother not married","30-34 years","50-59 years",81
"2010","Mother not married","30-34 years","60-69 years",11
"2010","Mother not married","30-34 years","70 years or more",0
"2010","Mother not married","30-34 years","Unknown",192
"2010","Mother not married","35-39 years","Less than 20 years",0
"2010","Mother not married","35-39 years","20-24 years",4
"2010","Mother not married","35-39 years","25-29 years",122
"2010","Mother not married","35-39 years","30-34 years",536
"2010","Mother not married","35-39 years","35-39 years",1311
"2010","Mother not married","35-39 years","40-44 years",850
"2010","Mother not married","35-39 years","45-49 years",308
"2010","Mother not married","35-39 years","50-59 years",108
"2010","Mother not married","35-39 years","60-69 years",11
"2010","Mother not married","35-39 years","70 years or more",0
"2010","Mother not married","35-39 years","Unknown",134
"2010","Mother not married","40-44 years","Less than 20 years",0
"2010","Mother not married","40-44 years","20-24 years",3
"2010","Mother not married","40-44 years","25-29 years",24
"2010","Mother not married","40-44 years","30-34 years",75
"2010","Mother not married","40-44 years","35-39 years",220
"2010","Mother not married","40-44 years","40-44 years",306
"2010","Mother not married","40-44 years","45-49 years",205
"2010","Mother not married","40-44 years","50-59 years",58
"2010","Mother not married","40-44 years","60-69 years",9
"2010","Mother not married","40-44 years","70 years or more",0
"2010","Mother not married","40-44 years","Unknown",70
"2010","Mother not married","45-49 years","Less than 20 years",0
"2010","Mother not married","45-49 years","20-24 years",0
"2010","Mother not married","45-49 years","25-29 years",0
"2010","Mother not married","45-49 years","30-34 years",2
"2010","Mother not married","45-49 years","35-39 years",7
"2010","Mother not married","45-49 years","40-44 years",18
"2010","Mother not married","45-49 years","45-49 years",14
"2010","Mother not married","45-49 years","50-59 years",9
"2010","Mother not married","45-49 years","60-69 years",1
"2010","Mother not married","45-49 years","70 years or more",0
"2010","Mother not married","45-49 years","Unknown",6
"2010","Mother not married","50 years or more","Less than 20 years",0
"2010","Mother not married","50 years or more","20-24 years",0
"2010","Mother not married","50 years or more","25-29 years",0
"2010","Mother not married","50 years or more","30-34 years",0
"2010","Mother not married","50 years or more","35-39 years",0
"2010","Mother not married","50 years or more","40-44 years",0
"2010","Mother not married","50 years or more","45-49 years",2
"2010","Mother not married","50 years or more","50-59 years",0
"2010","Mother not married","50 years or more","60-69 years",0
"2010","Mother not married","50 years or more","70 years or more",0
"2010","Mother not married","50 years or more","Unknown",1
"2011","First child","Less than 20 years","Less than 20 years",11
"2011","First child","Less than 20 years","20-24 years",60
"2011","First child","Less than 20 years","25-29 years",48
"2011","First child","Less than 20 years","30-34 years",9
"2011","First child","Less than 20 years","35-39 years",3
"2011","First child","Less than 20 years","40-44 years",0
"2011","First child","Less than 20 years","45-49 years",1
"2011","First child","Less than 20 years","50-59 years",0
"2011","First child","Less than 20 years","60-69 years",0
"2011","First child","Less than 20 years","70 years or more",0
"2011","First child","Less than 20 years","Unknown",0
"2011","First child","20-24 years","Less than 20 years",8
"2011","First child","20-24 years","20-24 years",922
"2011","First child","20-24 years","25-29 years",1741
"2011","First child","20-24 years","30-34 years",536
"2011","First child","20-24 years","35-39 years",167
"2011","First child","20-24 years","40-44 years",57
"2011","First child","20-24 years","45-49 years",21
"2011","First child","20-24 years","50-59 years",7
"2011","First child","20-24 years","60-69 years",1
"2011","First child","20-24 years","70 years or more",0
"2011","First child","20-24 years","Unknown",0
"2011","First child","25-29 years","Less than 20 years",0
"2011","First child","25-29 years","20-24 years",274
"2011","First child","25-29 years","25-29 years",3454
"2011","First child","25-29 years","30-34 years",3551
"2011","First child","25-29 years","35-39 years",1119
"2011","First child","25-29 years","40-44 years",348
"2011","First child","25-29 years","45-49 years",121
"2011","First child","25-29 years","50-59 years",48
"2011","First child","25-29 years","60-69 years",7
"2011","First child","25-29 years","70 years or more",2
"2011","First child","25-29 years","Unknown",0
"2011","First child","30-34 years","Less than 20 years",0
"2011","First child","30-34 years","20-24 years",49
"2011","First child","30-34 years","25-29 years",921
"2011","First child","30-34 years","30-34 years",5352
"2011","First child","30-34 years","35-39 years",3445
"2011","First child","30-34 years","40-44 years",996
"2011","First child","30-34 years","45-49 years",322
"2011","First child","30-34 years","50-59 years",116
"2011","First child","30-34 years","60-69 years",19
"2011","First child","30-34 years","70 years or more",3
"2011","First child","30-34 years","Unknown",0
"2011","First child","35-39 years","Less than 20 years",0
"2011","First child","35-39 years","20-24 years",7
"2011","First child","35-39 years","25-29 years",163
"2011","First child","35-39 years","30-34 years",959
"2011","First child","35-39 years","35-39 years",2388
"2011","First child","35-39 years","40-44 years",1283
"2011","First child","35-39 years","45-49 years",426
"2011","First child","35-39 years","50-59 years",174
"2011","First child","35-39 years","60-69 years",20
"2011","First child","35-39 years","70 years or more",4
"2011","First child","35-39 years","Unknown",0
"2011","First child","40-44 years","Less than 20 years",0
"2011","First child","40-44 years","20-24 years",5
"2011","First child","40-44 years","25-29 years",32
"2011","First child","40-44 years","30-34 years",89
"2011","First child","40-44 years","35-39 years",269
"2011","First child","40-44 years","40-44 years",393
"2011","First child","40-44 years","45-49 years",214
"2011","First child","40-44 years","50-59 years",93
"2011","First child","40-44 years","60-69 years",15
"2011","First child","40-44 years","70 years or more",4
"2011","First child","40-44 years","Unknown",0
"2011","First child","45-49 years","Less than 20 years",0
"2011","First child","45-49 years","20-24 years",0
"2011","First child","45-49 years","25-29 years",1
"2011","First child","45-49 years","30-34 years",3
"2011","First child","45-49 years","35-39 years",14
"2011","First child","45-49 years","40-44 years",23
"2011","First child","45-49 years","45-49 years",27
"2011","First child","45-49 years","50-59 years",23
"2011","First child","45-49 years","60-69 years",2
"2011","First child","45-49 years","70 years or more",0
"2011","First child","45-49 years","Unknown",0
"2011","First child","50 years or more","Less than 20 years",0
"2011","First child","50 years or more","20-24 years",0
"2011","First child","50 years or more","25-29 years",0
"2011","First child","50 years or more","30-34 years",1
"2011","First child","50 years or more","35-39 years",1
"2011","First child","50 years or more","40-44 years",0
"2011","First child","50 years or more","45-49 years",1
"2011","First child","50 years or more","50-59 years",2
"2011","First child","50 years or more","60-69 years",0
"2011","First child","50 years or more","70 years or more",0
"2011","First child","50 years or more","Unknown",0
"2011","Second child","Less than 20 years","Less than 20 years",0
"2011","Second child","Less than 20 years","20-24 years",3
"2011","Second child","Less than 20 years","25-29 years",3
"2011","Second child","Less than 20 years","30-34 years",0
"2011","Second child","Less than 20 years","35-39 years",0
"2011","Second child","Less than 20 years","40-44 years",0
"2011","Second child","Less than 20 years","45-49 years",0
"2011","Second child","Less than 20 years","50-59 years",0
"2011","Second child","Less than 20 years","60-69 years",0
"2011","Second child","Less than 20 years","70 years or more",0
"2011","Second child","Less than 20 years","Unknown",0
"2011","Second child","20-24 years","Less than 20 years",2
"2011","Second child","20-24 years","20-24 years",187
"2011","Second child","20-24 years","25-29 years",570
"2011","Second child","20-24 years","30-34 years",229
"2011","Second child","20-24 years","35-39 years",67
"2011","Second child","20-24 years","40-44 years",25
"2011","Second child","20-24 years","45-49 years",6
"2011","Second child","20-24 years","50-59 years",4
"2011","Second child","20-24 years","60-69 years",0
"2011","Second child","20-24 years","70 years or more",0
"2011","Second child","20-24 years","Unknown",0
"2011","Second child","25-29 years","Less than 20 years",0
"2011","Second child","25-29 years","20-24 years",51
"2011","Second child","25-29 years","25-29 years",1936
"2011","Second child","25-29 years","30-34 years",2553
"2011","Second child","25-29 years","35-39 years",828
"2011","Second child","25-29 years","40-44 years",257
"2011","Second child","25-29 years","45-49 years",63
"2011","Second child","25-29 years","50-59 years",26
"2011","Second child","25-29 years","60-69 years",3
"2011","Second child","25-29 years","70 years or more",0
"2011","Second child","25-29 years","Unknown",0
"2011","Second child","30-34 years","Less than 20 years",0
"2011","Second child","30-34 years","20-24 years",17
"2011","Second child","30-34 years","25-29 years",482
"2011","Second child","30-34 years","30-34 years",4388
"2011","Second child","30-34 years","35-39 years",3697
"2011","Second child","30-34 years","40-44 years",1072
"2011","Second child","30-34 years","45-49 years",259
"2011","Second child","30-34 years","50-59 years",89
"2011","Second child","30-34 years","60-69 years",7
"2011","Second child","30-34 years","70 years or more",0
"2011","Second child","30-34 years","Unknown",0
"2011","Second child","35-39 years","Less than 20 years",0
"2011","Second child","35-39 years","20-24 years",2
"2011","Second child","35-39 years","25-29 years",72
"2011","Second child","35-39 years","30-34 years",901
"2011","Second child","35-39 years","35-39 years",3364
"2011","Second child","35-39 years","40-44 years",1887
"2011","Second child","35-39 years","45-49 years",437
"2011","Second child","35-39 years","50-59 years",126
"2011","Second child","35-39 years","60-69 years",13
"2011","Second child","35-39 years","70 years or more",4
"2011","Second child","35-39 years","Unknown",0
"2011","Second child","40-44 years","Less than 20 years",0
"2011","Second child","40-44 years","20-24 years",0
"2011","Second child","40-44 years","25-29 years",7
"2011","Second child","40-44 years","30-34 years",73
"2011","Second child","40-44 years","35-39 years",354
"2011","Second child","40-44 years","40-44 years",678
"2011","Second child","40-44 years","45-49 years",256
"2011","Second child","40-44 years","50-59 years",88
"2011","Second child","40-44 years","60-69 years",11
"2011","Second child","40-44 years","70 years or more",2
"2011","Second child","40-44 years","Unknown",0
"2011","Second child","45-49 years","Less than 20 years",0
"2011","Second child","45-49 years","20-24 years",0
"2011","Second child","45-49 years","25-29 years",0
"2011","Second child","45-49 years","30-34 years",1
"2011","Second child","45-49 years","35-39 years",11
"2011","Second child","45-49 years","40-44 years",16
"2011","Second child","45-49 years","45-49 years",21
"2011","Second child","45-49 years","50-59 years",7
"2011","Second child","45-49 years","60-69 years",2
"2011","Second child","45-49 years","70 years or more",0
"2011","Second child","45-49 years","Unknown",0
"2011","Second child","50 years or more","Less than 20 years",0
"2011","Second child","50 years or more","20-24 years",0
"2011","Second child","50 years or more","25-29 years",0
"2011","Second child","50 years or more","30-34 years",1
"2011","Second child","50 years or more","35-39 years",1
"2011","Second child","50 years or more","40-44 years",0
"2011","Second child","50 years or more","45-49 years",2
"2011","Second child","50 years or more","50-59 years",2
"2011","Second child","50 years or more","60-69 years",0
"2011","Second child","50 years or more","70 years or more",0
"2011","Second child","50 years or more","Unknown",0
"2011","Third child","Less than 20 years","Less than 20 years",0
"2011","Third child","Less than 20 years","20-24 years",0
"2011","Third child","Less than 20 years","25-29 years",0
"2011","Third child","Less than 20 years","30-34 years",0
"2011","Third child","Less than 20 years","35-39 years",0
"2011","Third child","Less than 20 years","40-44 years",0
"2011","Third child","Less than 20 years","45-49 years",0
"2011","Third child","Less than 20 years","50-59 years",0
"2011","Third child","Less than 20 years","60-69 years",0
"2011","Third child","Less than 20 years","70 years or more",0
"2011","Third child","Less than 20 years","Unknown",0
"2011","Third child","20-24 years","Less than 20 years",0
"2011","Third child","20-24 years","20-24 years",16
"2011","Third child","20-24 years","25-29 years",50
"2011","Third child","20-24 years","30-34 years",27
"2011","Third child","20-24 years","35-39 years",14
"2011","Third child","20-24 years","40-44 years",4
"2011","Third child","20-24 years","45-49 years",0
"2011","Third child","20-24 years","50-59 years",0
"2011","Third child","20-24 years","60-69 years",0
"2011","Third child","20-24 years","70 years or more",0
"2011","Third child","20-24 years","Unknown",0
"2011","Third child","25-29 years","Less than 20 years",0
"2011","Third child","25-29 years","20-24 years",12
"2011","Third child","25-29 years","25-29 years",336
"2011","Third child","25-29 years","30-34 years",606
"2011","Third child","25-29 years","35-39 years",216
"2011","Third child","25-29 years","40-44 years",79
"2011","Third child","25-29 years","45-49 years",18
"2011","Third child","25-29 years","50-59 years",6
"2011","Third child","25-29 years","60-69 years",2
"2011","Third child","25-29 years","70 years or more",0
"2011","Third child","25-29 years","Unknown",0
"2011","Third child","30-34 years","Less than 20 years",0
"2011","Third child","30-34 years","20-24 years",0
"2011","Third child","30-34 years","25-29 years",77
"2011","Third child","30-34 years","30-34 years",1139
"2011","Third child","30-34 years","35-39 years",1190
"2011","Third child","30-34 years","40-44 years",411
"2011","Third child","30-34 years","45-49 years",94
"2011","Third child","30-34 years","50-59 years",39
"2011","Third child","30-34 years","60-69 years",5
"2011","Third child","30-34 years","70 years or more",0
"2011","Third child","30-34 years","Unknown",0
"2011","Third child","35-39 years","Less than 20 years",0
"2011","Third child","35-39 years","20-24 years",1
"2011","Third child","35-39 years","25-29 years",4
"2011","Third child","35-39 years","30-34 years",231
"2011","Third child","35-39 years","35-39 years",1314
"2011","Third child","35-39 years","40-44 years",786
"2011","Third child","35-39 years","45-49 years",204
"2011","Third child","35-39 years","50-59 years",54
"2011","Third child","35-39 years","60-69 years",5
"2011","Third child","35-39 years","70 years or more",2
"2011","Third child","35-39 years","Unknown",0
"2011","Third child","40-44 years","Less than 20 years",0
"2011","Third child","40-44 years","20-24 years",0
"2011","Third child","40-44 years","25-29 years",2
"2011","Third child","40-44 years","30-34 years",24
"2011","Third child","40-44 years","35-39 years",95
"2011","Third child","40-44 years","40-44 years",302
"2011","Third child","40-44 years","45-49 years",138
"2011","Third child","40-44 years","50-59 years",35
"2011","Third child","40-44 years","60-69 years",7
"2011","Third child","40-44 years","70 years or more",0
"2011","Third child","40-44 years","Unknown",0
"2011","Third child","45-49 years","Less than 20 years",0
"2011","Third child","45-49 years","20-24 years",0
"2011","Third child","45-49 years","25-29 years",0
"2011","Third child","45-49 years","30-34 years",0
"2011","Third child","45-49 years","35-39 years",2
"2011","Third child","45-49 years","40-44 years",6
"2011","Third child","45-49 years","45-49 years",9
"2011","Third child","45-49 years","50-59 years",8
"2011","Third child","45-49 years","60-69 years",1
"2011","Third child","45-49 years","70 years or more",0
"2011","Third child","45-49 years","Unknown",0
"2011","Third child","50 years or more","Less than 20 years",0
"2011","Third child","50 years or more","20-24 years",0
"2011","Third child","50 years or more","25-29 years",0
"2011","Third child","50 years or more","30-34 years",0
"2011","Third child","50 years or more","35-39 years",0
"2011","Third child","50 years or more","40-44 years",0
"2011","Third child","50 years or more","45-49 years",1
"2011","Third child","50 years or more","50-59 years",0
"2011","Third child","50 years or more","60-69 years",0
"2011","Third child","50 years or more","70 years or more",0
"2011","Third child","50 years or more","Unknown",0
"2011","Fourth child or more","Less than 20 years","Less than 20 years",0
"2011","Fourth child or more","Less than 20 years","20-24 years",0
"2011","Fourth child or more","Less than 20 years","25-29 years",0
"2011","Fourth child or more","Less than 20 years","30-34 years",0
"2011","Fourth child or more","Less than 20 years","35-39 years",0
"2011","Fourth child or more","Less than 20 years","40-44 years",0
"2011","Fourth child or more","Less than 20 years","45-49 years",0
"2011","Fourth child or more","Less than 20 years","50-59 years",0
"2011","Fourth child or more","Less than 20 years","60-69 years",0
"2011","Fourth child or more","Less than 20 years","70 years or more",0
"2011","Fourth child or more","Less than 20 years","Unknown",0
"2011","Fourth child or more","20-24 years","Less than 20 years",0
"2011","Fourth child or more","20-24 years","20-24 years",2
"2011","Fourth child or more","20-24 years","25-29 years",3
"2011","Fourth child or more","20-24 years","30-34 years",4
"2011","Fourth child or more","20-24 years","35-39 years",0
"2011","Fourth child or more","20-24 years","40-44 years",0
"2011","Fourth child or more","20-24 years","45-49 years",0
"2011","Fourth child or more","20-24 years","50-59 years",0
"2011","Fourth child or more","20-24 years","60-69 years",0
"2011","Fourth child or more","20-24 years","70 years or more",0
"2011","Fourth child or more","20-24 years","Unknown",0
"2011","Fourth child or more","25-29 years","Less than 20 years",0
"2011","Fourth child or more","25-29 years","20-24 years",3
"2011","Fourth child or more","25-29 years","25-29 years",41
"2011","Fourth child or more","25-29 years","30-34 years",114
"2011","Fourth child or more","25-29 years","35-39 years",46
"2011","Fourth child or more","25-29 years","40-44 years",14
"2011","Fourth child or more","25-29 years","45-49 years",6
"2011","Fourth child or more","25-29 years","50-59 years",2
"2011","Fourth child or more","25-29 years","60-69 years",1
"2011","Fourth child or more","25-29 years","70 years or more",0
"2011","Fourth child or more","25-29 years","Unknown",0
"2011","Fourth child or more","30-34 years","Less than 20 years",0
"2011","Fourth child or more","30-34 years","20-24 years",0
"2011","Fourth child or more","30-34 years","25-29 years",14
"2011","Fourth child or more","30-34 years","30-34 years",239
"2011","Fourth child or more","30-34 years","35-39 years",287
"2011","Fourth child or more","30-34 years","40-44 years",106
"2011","Fourth child or more","30-34 years","45-49 years",40
"2011","Fourth child or more","30-34 years","50-59 years",7
"2011","Fourth child or more","30-34 years","60-69 years",1
"2011","Fourth child or more","30-34 years","70 years or more",0
"2011","Fourth child or more","30-34 years","Unknown",0
"2011","Fourth child or more","35-39 years","Less than 20 years",0
"2011","Fourth child or more","35-39 years","20-24 years",0
"2011","Fourth child or more","35-39 years","25-29 years",3
"2011","Fourth child or more","35-39 years","30-34 years",57
"2011","Fourth child or more","35-39 years","35-39 years",382
"2011","Fourth child or more","35-39 years","40-44 years",266
"2011","Fourth child or more","35-39 years","45-49 years",89
"2011","Fourth child or more","35-39 years","50-59 years",28
"2011","Fourth child or more","35-39 years","60-69 years",3
"2011","Fourth child or more","35-39 years","70 years or more",0
"2011","Fourth child or more","35-39 years","Unknown",0
"2011","Fourth child or more","40-44 years","Less than 20 years",0
"2011","Fourth child or more","40-44 years","20-24 years",0
"2011","Fourth child or more","40-44 years","25-29 years",1
"2011","Fourth child or more","40-44 years","30-34 years",2
"2011","Fourth child or more","40-44 years","35-39 years",38
"2011","Fourth child or more","40-44 years","40-44 years",164
"2011","Fourth child or more","40-44 years","45-49 years",79
"2011","Fourth child or more","40-44 years","50-59 years",27
"2011","Fourth child or more","40-44 years","60-69 years",1
"2011","Fourth child or more","40-44 years","70 years or more",0
"2011","Fourth child or more","40-44 years","Unknown",0
"2011","Fourth child or more","45-49 years","Less than 20 years",0
"2011","Fourth child or more","45-49 years","20-24 years",0
"2011","Fourth child or more","45-49 years","25-29 years",0
"2011","Fourth child or more","45-49 years","30-34 years",0
"2011","Fourth child or more","45-49 years","35-39 years",2
"2011","Fourth child or more","45-49 years","40-44 years",6
"2011","Fourth child or more","45-49 years","45-49 years",12
"2011","Fourth child or more","45-49 years","50-59 years",5
"2011","Fourth child or more","45-49 years","60-69 years",0
"2011","Fourth child or more","45-49 years","70 years or more",0
"2011","Fourth child or more","45-49 years","Unknown",0
"2011","Fourth child or more","50 years or more","Less than 20 years",0
"2011","Fourth child or more","50 years or more","20-24 years",0
"2011","Fourth child or more","50 years or more","25-29 years",0
"2011","Fourth child or more","50 years or more","30-34 years",0
"2011","Fourth child or more","50 years or more","35-39 years",0
"2011","Fourth child or more","50 years or more","40-44 years",0
"2011","Fourth child or more","50 years or more","45-49 years",0
"2011","Fourth child or more","50 years or more","50-59 years",0
"2011","Fourth child or more","50 years or more","60-69 years",0
"2011","Fourth child or more","50 years or more","70 years or more",0
"2011","Fourth child or more","50 years or more","Unknown",0
"2011","Mother not married","Less than 20 years","Less than 20 years",83
"2011","Mother not married","Less than 20 years","20-24 years",156
"2011","Mother not married","Less than 20 years","25-29 years",54
"2011","Mother not married","Less than 20 years","30-34 years",15
"2011","Mother not married","Less than 20 years","35-39 years",6
"2011","Mother not married","Less than 20 years","40-44 years",4
"2011","Mother not married","Less than 20 years","45-49 years",0
"2011","Mother not married","Less than 20 years","50-59 years",2
"2011","Mother not married","Less than 20 years","60-69 years",0
"2011","Mother not married","Less than 20 years","70 years or more",0
"2011","Mother not married","Less than 20 years","Unknown",51
"2011","Mother not married","20-24 years","Less than 20 years",34
"2011","Mother not married","20-24 years","20-24 years",575
"2011","Mother not married","20-24 years","25-29 years",671
"2011","Mother not married","20-24 years","30-34 years",298
"2011","Mother not married","20-24 years","35-39 years",111
"2011","Mother not married","20-24 years","40-44 years",49
"2011","Mother not married","20-24 years","45-49 years",11
"2011","Mother not married","20-24 years","50-59 years",2
"2011","Mother not married","20-24 years","60-69 years",2
"2011","Mother not married","20-24 years","70 years or more",0
"2011","Mother not married","20-24 years","Unknown",193
"2011","Mother not married","25-29 years","Less than 20 years",6
"2011","Mother not married","25-29 years","20-24 years",205
"2011","Mother not married","25-29 years","25-29 years",1220
"2011","Mother not married","25-29 years","30-34 years",1164
"2011","Mother not married","25-29 years","35-39 years",457
"2011","Mother not married","25-29 years","40-44 years",193
"2011","Mother not married","25-29 years","45-49 years",66
"2011","Mother not married","25-29 years","50-59 years",33
"2011","Mother not married","25-29 years","60-69 years",2
