"Tipo di popolazione","Anno","Età","Sesso","Stato civile","Popolazione residente permanente e non permanente"
"Popolazione residente permanente","2017","34 anni","Uomo","Senza indicazione",12
"Popolazione residente permanente","2017","34 anni","Donna","Celibe/nubile",22164
"Popolazione residente permanente","2017","34 anni","Donna","Coniugato, in unione domestica registrata",33993
"Popolazione residente permanente","2017","34 anni","Donna","Vedovo, unione domestica sciolta per decesso",127
"Popolazione residente permanente","2017","34 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",2901
"Popolazione residente permanente","2017","34 anni","Donna","Senza indicazione",9
"Popolazione residente permanente","2017","35 anni","Uomo","Celibe/nubile",28427
"Popolazione residente permanente","2017","35 anni","Uomo","Coniugato, in unione domestica registrata",31181
"Popolazione residente permanente","2017","35 anni","Uomo","Vedovo, unione domestica sciolta per decesso",38
"Popolazione residente permanente","2017","35 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",2174
"Popolazione residente permanente","2017","35 anni","Uomo","Senza indicazione",8
"Popolazione residente permanente","2017","35 anni","Donna","Celibe/nubile",20913
"Popolazione residente permanente","2017","35 anni","Donna","Coniugato, in unione domestica registrata",36122
"Popolazione residente permanente","2017","35 anni","Donna","Vedovo, unione domestica sciolta per decesso",140
"Popolazione residente permanente","2017","35 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",3458
"Popolazione residente permanente","2017","35 anni","Donna","Senza indicazione",6
"Popolazione residente permanente","2017","36 anni","Uomo","Celibe/nubile",26356
"Popolazione residente permanente","2017","36 anni","Uomo","Coniugato, in unione domestica registrata",32596
"Popolazione residente permanente","2017","36 anni","Uomo","Vedovo, unione domestica sciolta per decesso",40
"Popolazione residente permanente","2017","36 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",2448
"Popolazione residente permanente","2017","36 anni","Uomo","Senza indicazione",8
"Popolazione residente permanente","2017","36 anni","Donna","Celibe/nubile",19110
"Popolazione residente permanente","2017","36 anni","Donna","Coniugato, in unione domestica registrata",36996
"Popolazione residente permanente","2017","36 anni","Donna","Vedovo, unione domestica sciolta per decesso",173
"Popolazione residente permanente","2017","36 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",3793
"Popolazione residente permanente","2017","36 anni","Donna","Senza indicazione",10
"Popolazione residente permanente","2017","37 anni","Uomo","Celibe/nubile",24638
"Popolazione residente permanente","2017","37 anni","Uomo","Coniugato, in unione domestica registrata",34166
"Popolazione residente permanente","2017","37 anni","Uomo","Vedovo, unione domestica sciolta per decesso",42
"Popolazione residente permanente","2017","37 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",2829
"Popolazione residente permanente","2017","37 anni","Uomo","Senza indicazione",10
"Popolazione residente permanente","2017","37 anni","Donna","Celibe/nubile",17847
"Popolazione residente permanente","2017","37 anni","Donna","Coniugato, in unione domestica registrata",37796
"Popolazione residente permanente","2017","37 anni","Donna","Vedovo, unione domestica sciolta per decesso",225
"Popolazione residente permanente","2017","37 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",4244
"Popolazione residente permanente","2017","37 anni","Donna","Senza indicazione",6
"Popolazione residente permanente","2017","38 anni","Uomo","Celibe/nubile",22272
"Popolazione residente permanente","2017","38 anni","Uomo","Coniugato, in unione domestica registrata",34047
"Popolazione residente permanente","2017","38 anni","Uomo","Vedovo, unione domestica sciolta per decesso",51
"Popolazione residente permanente","2017","38 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",3091
"Popolazione residente permanente","2017","38 anni","Uomo","Senza indicazione",9
"Popolazione residente permanente","2017","38 anni","Donna","Celibe/nubile",16213
"Popolazione residente permanente","2017","38 anni","Donna","Coniugato, in unione domestica registrata",37759
"Popolazione residente permanente","2017","38 anni","Donna","Vedovo, unione domestica sciolta per decesso",220
"Popolazione residente permanente","2017","38 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",4490
"Popolazione residente permanente","2017","38 anni","Donna","Senza indicazione",4
"Popolazione residente permanente","2017","39 anni","Uomo","Celibe/nubile",20471
"Popolazione residente permanente","2017","39 anni","Uomo","Coniugato, in unione domestica registrata",34975
"Popolazione residente permanente","2017","39 anni","Uomo","Vedovo, unione domestica sciolta per decesso",63
"Popolazione residente permanente","2017","39 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",3366
"Popolazione residente permanente","2017","39 anni","Uomo","Senza indicazione",8
"Popolazione residente permanente","2017","39 anni","Donna","Celibe/nubile",14923
"Popolazione residente permanente","2017","39 anni","Donna","Coniugato, in unione domestica registrata",37771
"Popolazione residente permanente","2017","39 anni","Donna","Vedovo, unione domestica sciolta per decesso",251
"Popolazione residente permanente","2017","39 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",4937
"Popolazione residente permanente","2017","39 anni","Donna","Senza indicazione",6
"Popolazione residente permanente","2017","40 anni","Uomo","Celibe/nubile",19200
"Popolazione residente permanente","2017","40 anni","Uomo","Coniugato, in unione domestica registrata",35788
"Popolazione residente permanente","2017","40 anni","Uomo","Vedovo, unione domestica sciolta per decesso",71
"Popolazione residente permanente","2017","40 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",3736
"Popolazione residente permanente","2017","40 anni","Uomo","Senza indicazione",6
"Popolazione residente permanente","2017","40 anni","Donna","Celibe/nubile",13925
"Popolazione residente permanente","2017","40 anni","Donna","Coniugato, in unione domestica registrata",38126
"Popolazione residente permanente","2017","40 anni","Donna","Vedovo, unione domestica sciolta per decesso",315
"Popolazione residente permanente","2017","40 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",5405
"Popolazione residente permanente","2017","40 anni","Donna","Senza indicazione",5
"Popolazione residente permanente","2017","41 anni","Uomo","Celibe/nubile",17713
"Popolazione residente permanente","2017","41 anni","Uomo","Coniugato, in unione domestica registrata",36080
"Popolazione residente permanente","2017","41 anni","Uomo","Vedovo, unione domestica sciolta per decesso",76
"Popolazione residente permanente","2017","41 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",4027
"Popolazione residente permanente","2017","41 anni","Uomo","Senza indicazione",6
"Popolazione residente permanente","2017","41 anni","Donna","Celibe/nubile",13071
"Popolazione residente permanente","2017","41 anni","Donna","Coniugato, in unione domestica registrata",38409
"Popolazione residente permanente","2017","41 anni","Donna","Vedovo, unione domestica sciolta per decesso",370
"Popolazione residente permanente","2017","41 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",5750
"Popolazione residente permanente","2017","41 anni","Donna","Senza indicazione",8
"Popolazione residente permanente","2017","42 anni","Uomo","Celibe/nubile",16746
"Popolazione residente permanente","2017","42 anni","Uomo","Coniugato, in unione domestica registrata",36378
"Popolazione residente permanente","2017","42 anni","Uomo","Vedovo, unione domestica sciolta per decesso",100
"Popolazione residente permanente","2017","42 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",4506
"Popolazione residente permanente","2017","42 anni","Uomo","Senza indicazione",4
"Popolazione residente permanente","2017","42 anni","Donna","Celibe/nubile",12033
"Popolazione residente permanente","2017","42 anni","Donna","Coniugato, in unione domestica registrata",38309
"Popolazione residente permanente","2017","42 anni","Donna","Vedovo, unione domestica sciolta per decesso",415
"Popolazione residente permanente","2017","42 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",6415
"Popolazione residente permanente","2017","42 anni","Donna","Senza indicazione",7
"Popolazione residente permanente","2017","43 anni","Uomo","Celibe/nubile",16270
"Popolazione residente permanente","2017","43 anni","Uomo","Coniugato, in unione domestica registrata",37750
"Popolazione residente permanente","2017","43 anni","Uomo","Vedovo, unione domestica sciolta per decesso",119
"Popolazione residente permanente","2017","43 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",5024
"Popolazione residente permanente","2017","43 anni","Uomo","Senza indicazione",6
"Popolazione residente permanente","2017","43 anni","Donna","Celibe/nubile",11962
"Popolazione residente permanente","2017","43 anni","Donna","Coniugato, in unione domestica registrata",38584
"Popolazione residente permanente","2017","43 anni","Donna","Vedovo, unione domestica sciolta per decesso",475
"Popolazione residente permanente","2017","43 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",7097
"Popolazione residente permanente","2017","43 anni","Donna","Senza indicazione",2
"Popolazione residente permanente","2017","44 anni","Uomo","Celibe/nubile",15535
"Popolazione residente permanente","2017","44 anni","Uomo","Coniugato, in unione domestica registrata",37928
"Popolazione residente permanente","2017","44 anni","Uomo","Vedovo, unione domestica sciolta per decesso",139
"Popolazione residente permanente","2017","44 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",5593
"Popolazione residente permanente","2017","44 anni","Uomo","Senza indicazione",5
"Popolazione residente permanente","2017","44 anni","Donna","Celibe/nubile",11477
"Popolazione residente permanente","2017","44 anni","Donna","Coniugato, in unione domestica registrata",38997
"Popolazione residente permanente","2017","44 anni","Donna","Vedovo, unione domestica sciolta per decesso",604
"Popolazione residente permanente","2017","44 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",7599
"Popolazione residente permanente","2017","44 anni","Donna","Senza indicazione",5
"Popolazione residente permanente","2017","45 anni","Uomo","Celibe/nubile",15578
"Popolazione residente permanente","2017","45 anni","Uomo","Coniugato, in unione domestica registrata",39438
"Popolazione residente permanente","2017","45 anni","Uomo","Vedovo, unione domestica sciolta per decesso",165
"Popolazione residente permanente","2017","45 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",6053
"Popolazione residente permanente","2017","45 anni","Uomo","Senza indicazione",11
"Popolazione residente permanente","2017","45 anni","Donna","Celibe/nubile",11379
"Popolazione residente permanente","2017","45 anni","Donna","Coniugato, in unione domestica registrata",39556
"Popolazione residente permanente","2017","45 anni","Donna","Vedovo, unione domestica sciolta per decesso",598
"Popolazione residente permanente","2017","45 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",8356
"Popolazione residente permanente","2017","45 anni","Donna","Senza indicazione",11
"Popolazione residente permanente","2017","46 anni","Uomo","Celibe/nubile",15329
"Popolazione residente permanente","2017","46 anni","Uomo","Coniugato, in unione domestica registrata",40418
"Popolazione residente permanente","2017","46 anni","Uomo","Vedovo, unione domestica sciolta per decesso",162
"Popolazione residente permanente","2017","46 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",6719
"Popolazione residente permanente","2017","46 anni","Uomo","Senza indicazione",9
"Popolazione residente permanente","2017","46 anni","Donna","Celibe/nubile",11228
"Popolazione residente permanente","2017","46 anni","Donna","Coniugato, in unione domestica registrata",40948
"Popolazione residente permanente","2017","46 anni","Donna","Vedovo, unione domestica sciolta per decesso",724
"Popolazione residente permanente","2017","46 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",9227
"Popolazione residente permanente","2017","46 anni","Donna","Senza indicazione",3
"Popolazione residente permanente","2017","47 anni","Uomo","Celibe/nubile",15041
"Popolazione residente permanente","2017","47 anni","Uomo","Coniugato, in unione domestica registrata",40901
"Popolazione residente permanente","2017","47 anni","Uomo","Vedovo, unione domestica sciolta per decesso",207
"Popolazione residente permanente","2017","47 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",7423
"Popolazione residente permanente","2017","47 anni","Uomo","Senza indicazione",4
"Popolazione residente permanente","2017","47 anni","Donna","Celibe/nubile",10935
"Popolazione residente permanente","2017","47 anni","Donna","Coniugato, in unione domestica registrata",40952
"Popolazione residente permanente","2017","47 anni","Donna","Vedovo, unione domestica sciolta per decesso",856
"Popolazione residente permanente","2017","47 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",9988
"Popolazione residente permanente","2017","47 anni","Donna","Senza indicazione",5
"Popolazione residente permanente","2017","48 anni","Uomo","Celibe/nubile",14561
"Popolazione residente permanente","2017","48 anni","Uomo","Coniugato, in unione domestica registrata",41990
"Popolazione residente permanente","2017","48 anni","Uomo","Vedovo, unione domestica sciolta per decesso",264
"Popolazione residente permanente","2017","48 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",8164
"Popolazione residente permanente","2017","48 anni","Uomo","Senza indicazione",12
"Popolazione residente permanente","2017","48 anni","Donna","Celibe/nubile",10821
"Popolazione residente permanente","2017","48 anni","Donna","Coniugato, in unione domestica registrata",41793
"Popolazione residente permanente","2017","48 anni","Donna","Vedovo, unione domestica sciolta per decesso",1010
"Popolazione residente permanente","2017","48 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",10870
"Popolazione residente permanente","2017","48 anni","Donna","Senza indicazione",5
"Popolazione residente permanente","2017","49 anni","Uomo","Celibe/nubile",14007
"Popolazione residente permanente","2017","49 anni","Uomo","Coniugato, in unione domestica registrata",42924
"Popolazione residente permanente","2017","49 anni","Uomo","Vedovo, unione domestica sciolta per decesso",305
"Popolazione residente permanente","2017","49 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",8997
"Popolazione residente permanente","2017","49 anni","Uomo","Senza indicazione",5
"Popolazione residente permanente","2017","49 anni","Donna","Celibe/nubile",10469
"Popolazione residente permanente","2017","49 anni","Donna","Coniugato, in unione domestica registrata",42357
"Popolazione residente permanente","2017","49 anni","Donna","Vedovo, unione domestica sciolta per decesso",1184
"Popolazione residente permanente","2017","49 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",11630
"Popolazione residente permanente","2017","49 anni","Donna","Senza indicazione",4
"Popolazione residente permanente","2017","50 anni","Uomo","Celibe/nubile",13473
"Popolazione residente permanente","2017","50 anni","Uomo","Coniugato, in unione domestica registrata",43917
"Popolazione residente permanente","2017","50 anni","Uomo","Vedovo, unione domestica sciolta per decesso",315
"Popolazione residente permanente","2017","50 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",9249
"Popolazione residente permanente","2017","50 anni","Uomo","Senza indicazione",7
"Popolazione residente permanente","2017","50 anni","Donna","Celibe/nubile",10089
"Popolazione residente permanente","2017","50 anni","Donna","Coniugato, in unione domestica registrata",42283
"Popolazione residente permanente","2017","50 anni","Donna","Vedovo, unione domestica sciolta per decesso",1226
"Popolazione residente permanente","2017","50 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",12416
"Popolazione residente permanente","2017","50 anni","Donna","Senza indicazione",10
"Popolazione residente permanente","2017","51 anni","Uomo","Celibe/nubile",13043
"Popolazione residente permanente","2017","51 anni","Uomo","Coniugato, in unione domestica registrata",44814
"Popolazione residente permanente","2017","51 anni","Uomo","Vedovo, unione domestica sciolta per decesso",382
"Popolazione residente permanente","2017","51 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",10149
"Popolazione residente permanente","2017","51 anni","Uomo","Senza indicazione",4
"Popolazione residente permanente","2017","51 anni","Donna","Celibe/nubile",9943
"Popolazione residente permanente","2017","51 anni","Donna","Coniugato, in unione domestica registrata",42575
"Popolazione residente permanente","2017","51 anni","Donna","Vedovo, unione domestica sciolta per decesso",1449
"Popolazione residente permanente","2017","51 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",12928
"Popolazione residente permanente","2017","51 anni","Donna","Senza indicazione",5
"Popolazione residente permanente","2017","52 anni","Uomo","Celibe/nubile",12340
"Popolazione residente permanente","2017","52 anni","Uomo","Coniugato, in unione domestica registrata",45294
"Popolazione residente permanente","2017","52 anni","Uomo","Vedovo, unione domestica sciolta per decesso",398
"Popolazione residente permanente","2017","52 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",10607
"Popolazione residente permanente","2017","52 anni","Uomo","Senza indicazione",13
"Popolazione residente permanente","2017","52 anni","Donna","Celibe/nubile",9444
"Popolazione residente permanente","2017","52 anni","Donna","Coniugato, in unione domestica registrata",42231
"Popolazione residente permanente","2017","52 anni","Donna","Vedovo, unione domestica sciolta per decesso",1650
"Popolazione residente permanente","2017","52 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",13206
"Popolazione residente permanente","2017","52 anni","Donna","Senza indicazione",6
"Popolazione residente permanente","2017","53 anni","Uomo","Celibe/nubile",12116
"Popolazione residente permanente","2017","53 anni","Uomo","Coniugato, in unione domestica registrata",45898
"Popolazione residente permanente","2017","53 anni","Uomo","Vedovo, unione domestica sciolta per decesso",483
"Popolazione residente permanente","2017","53 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",11021
"Popolazione residente permanente","2017","53 anni","Uomo","Senza indicazione",7
"Popolazione residente permanente","2017","53 anni","Donna","Celibe/nubile",9046
"Popolazione residente permanente","2017","53 anni","Donna","Coniugato, in unione domestica registrata",42972
"Popolazione residente permanente","2017","53 anni","Donna","Vedovo, unione domestica sciolta per decesso",1903
"Popolazione residente permanente","2017","53 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",13699
"Popolazione residente permanente","2017","53 anni","Donna","Senza indicazione",5
"Popolazione residente permanente","2017","54 anni","Uomo","Celibe/nubile",10915
"Popolazione residente permanente","2017","54 anni","Uomo","Coniugato, in unione domestica registrata",44466
"Popolazione residente permanente","2017","54 anni","Uomo","Vedovo, unione domestica sciolta per decesso",464
"Popolazione residente permanente","2017","54 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",11120
"Popolazione residente permanente","2017","54 anni","Uomo","Senza indicazione",3
"Popolazione residente permanente","2017","54 anni","Donna","Celibe/nubile",8635
"Popolazione residente permanente","2017","54 anni","Donna","Coniugato, in unione domestica registrata",41373
"Popolazione residente permanente","2017","54 anni","Donna","Vedovo, unione domestica sciolta per decesso",1976
"Popolazione residente permanente","2017","54 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",13522
"Popolazione residente permanente","2017","54 anni","Donna","Senza indicazione",6
"Popolazione residente permanente","2017","55 anni","Uomo","Celibe/nubile",10055
"Popolazione residente permanente","2017","55 anni","Uomo","Coniugato, in unione domestica registrata",43107
"Popolazione residente permanente","2017","55 anni","Uomo","Vedovo, unione domestica sciolta per decesso",516
"Popolazione residente permanente","2017","55 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",10568
"Popolazione residente permanente","2017","55 anni","Uomo","Senza indicazione",6
"Popolazione residente permanente","2017","55 anni","Donna","Celibe/nubile",7704
"Popolazione residente permanente","2017","55 anni","Donna","Coniugato, in unione domestica registrata",39970
"Popolazione residente permanente","2017","55 anni","Donna","Vedovo, unione domestica sciolta per decesso",2212
"Popolazione residente permanente","2017","55 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",12860
"Popolazione residente permanente","2017","55 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2017","56 anni","Uomo","Celibe/nubile",8807
"Popolazione residente permanente","2017","56 anni","Uomo","Coniugato, in unione domestica registrata",41883
"Popolazione residente permanente","2017","56 anni","Uomo","Vedovo, unione domestica sciolta per decesso",610
"Popolazione residente permanente","2017","56 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",10186
"Popolazione residente permanente","2017","56 anni","Uomo","Senza indicazione",3
"Popolazione residente permanente","2017","56 anni","Donna","Celibe/nubile",7228
"Popolazione residente permanente","2017","56 anni","Donna","Coniugato, in unione domestica registrata",38475
"Popolazione residente permanente","2017","56 anni","Donna","Vedovo, unione domestica sciolta per decesso",2399
"Popolazione residente permanente","2017","56 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",12651
"Popolazione residente permanente","2017","56 anni","Donna","Senza indicazione",3
"Popolazione residente permanente","2017","57 anni","Uomo","Celibe/nubile",8182
"Popolazione residente permanente","2017","57 anni","Uomo","Coniugato, in unione domestica registrata",40894
"Popolazione residente permanente","2017","57 anni","Uomo","Vedovo, unione domestica sciolta per decesso",619
"Popolazione residente permanente","2017","57 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",10014
"Popolazione residente permanente","2017","57 anni","Uomo","Senza indicazione",4
"Popolazione residente permanente","2017","57 anni","Donna","Celibe/nubile",6674
"Popolazione residente permanente","2017","57 anni","Donna","Coniugato, in unione domestica registrata",37595
"Popolazione residente permanente","2017","57 anni","Donna","Vedovo, unione domestica sciolta per decesso",2602
"Popolazione residente permanente","2017","57 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",11998
"Popolazione residente permanente","2017","57 anni","Donna","Senza indicazione",4
"Popolazione residente permanente","2017","58 anni","Uomo","Celibe/nubile",7547
"Popolazione residente permanente","2017","58 anni","Uomo","Coniugato, in unione domestica registrata",39456
"Popolazione residente permanente","2017","58 anni","Uomo","Vedovo, unione domestica sciolta per decesso",709
"Popolazione residente permanente","2017","58 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",9746
"Popolazione residente permanente","2017","58 anni","Uomo","Senza indicazione",2
"Popolazione residente permanente","2017","58 anni","Donna","Celibe/nubile",6225
"Popolazione residente permanente","2017","58 anni","Donna","Coniugato, in unione domestica registrata",36184
"Popolazione residente permanente","2017","58 anni","Donna","Vedovo, unione domestica sciolta per decesso",2766
"Popolazione residente permanente","2017","58 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",11789
"Popolazione residente permanente","2017","58 anni","Donna","Senza indicazione",2
"Popolazione residente permanente","2017","59 anni","Uomo","Celibe/nubile",6962
"Popolazione residente permanente","2017","59 anni","Uomo","Coniugato, in unione domestica registrata",38249
"Popolazione residente permanente","2017","59 anni","Uomo","Vedovo, unione domestica sciolta per decesso",699
"Popolazione residente permanente","2017","59 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",9405
"Popolazione residente permanente","2017","59 anni","Uomo","Senza indicazione",3
"Popolazione residente permanente","2017","59 anni","Donna","Celibe/nubile",5846
"Popolazione residente permanente","2017","59 anni","Donna","Coniugato, in unione domestica registrata",34353
"Popolazione residente permanente","2017","59 anni","Donna","Vedovo, unione domestica sciolta per decesso",2927
"Popolazione residente permanente","2017","59 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",11188
"Popolazione residente permanente","2017","59 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2017","60 anni","Uomo","Celibe/nubile",6384
"Popolazione residente permanente","2017","60 anni","Uomo","Coniugato, in unione domestica registrata",37027
"Popolazione residente permanente","2017","60 anni","Uomo","Vedovo, unione domestica sciolta per decesso",798
"Popolazione residente permanente","2017","60 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",9160
"Popolazione residente permanente","2017","60 anni","Uomo","Senza indicazione",1
"Popolazione residente permanente","2017","60 anni","Donna","Celibe/nubile",5599
"Popolazione residente permanente","2017","60 anni","Donna","Coniugato, in unione domestica registrata",33320
"Popolazione residente permanente","2017","60 anni","Donna","Vedovo, unione domestica sciolta per decesso",3160
"Popolazione residente permanente","2017","60 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",10890
"Popolazione residente permanente","2017","60 anni","Donna","Senza indicazione",2
"Popolazione residente permanente","2017","61 anni","Uomo","Celibe/nubile",5813
"Popolazione residente permanente","2017","61 anni","Uomo","Coniugato, in unione domestica registrata",36225
"Popolazione residente permanente","2017","61 anni","Uomo","Vedovo, unione domestica sciolta per decesso",864
"Popolazione residente permanente","2017","61 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",8698
"Popolazione residente permanente","2017","61 anni","Uomo","Senza indicazione",1
"Popolazione residente permanente","2017","61 anni","Donna","Celibe/nubile",5226
"Popolazione residente permanente","2017","61 anni","Donna","Coniugato, in unione domestica registrata",32038
"Popolazione residente permanente","2017","61 anni","Donna","Vedovo, unione domestica sciolta per decesso",3437
"Popolazione residente permanente","2017","61 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",10251
"Popolazione residente permanente","2017","61 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2017","62 anni","Uomo","Celibe/nubile",5165
"Popolazione residente permanente","2017","62 anni","Uomo","Coniugato, in unione domestica registrata",34688
"Popolazione residente permanente","2017","62 anni","Uomo","Vedovo, unione domestica sciolta per decesso",953
"Popolazione residente permanente","2017","62 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",7930
"Popolazione residente permanente","2017","62 anni","Uomo","Senza indicazione",3
"Popolazione residente permanente","2017","62 anni","Donna","Celibe/nubile",4815
"Popolazione residente permanente","2017","62 anni","Donna","Coniugato, in unione domestica registrata",30648
"Popolazione residente permanente","2017","62 anni","Donna","Vedovo, unione domestica sciolta per decesso",3739
"Popolazione residente permanente","2017","62 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",9854
"Popolazione residente permanente","2017","62 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2017","63 anni","Uomo","Celibe/nubile",4917
"Popolazione residente permanente","2017","63 anni","Uomo","Coniugato, in unione domestica registrata",33085
"Popolazione residente permanente","2017","63 anni","Uomo","Vedovo, unione domestica sciolta per decesso",977
"Popolazione residente permanente","2017","63 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",7467
"Popolazione residente permanente","2017","63 anni","Uomo","Senza indicazione",3
"Popolazione residente permanente","2017","63 anni","Donna","Celibe/nubile",4555
"Popolazione residente permanente","2017","63 anni","Donna","Coniugato, in unione domestica registrata",29728
"Popolazione residente permanente","2017","63 anni","Donna","Vedovo, unione domestica sciolta per decesso",3980
"Popolazione residente permanente","2017","63 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",9575
"Popolazione residente permanente","2017","63 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2017","64 anni","Uomo","Celibe/nubile",4559
"Popolazione residente permanente","2017","64 anni","Uomo","Coniugato, in unione domestica registrata",31576
"Popolazione residente permanente","2017","64 anni","Uomo","Vedovo, unione domestica sciolta per decesso",1042
"Popolazione residente permanente","2017","64 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",7094
"Popolazione residente permanente","2017","64 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2017","64 anni","Donna","Celibe/nubile",4098
"Popolazione residente permanente","2017","64 anni","Donna","Coniugato, in unione domestica registrata",28621
"Popolazione residente permanente","2017","64 anni","Donna","Vedovo, unione domestica sciolta per decesso",4290
"Popolazione residente permanente","2017","64 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",9116
"Popolazione residente permanente","2017","64 anni","Donna","Senza indicazione",1
"Popolazione residente permanente","2017","65 anni","Uomo","Celibe/nubile",4305
"Popolazione residente permanente","2017","65 anni","Uomo","Coniugato, in unione domestica registrata",30938
"Popolazione residente permanente","2017","65 anni","Uomo","Vedovo, unione domestica sciolta per decesso",1120
"Popolazione residente permanente","2017","65 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",6840
"Popolazione residente permanente","2017","65 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2017","65 anni","Donna","Celibe/nubile",4065
"Popolazione residente permanente","2017","65 anni","Donna","Coniugato, in unione domestica registrata",28036
"Popolazione residente permanente","2017","65 anni","Donna","Vedovo, unione domestica sciolta per decesso",4695
"Popolazione residente permanente","2017","65 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",8779
"Popolazione residente permanente","2017","65 anni","Donna","Senza indicazione",1
"Popolazione residente permanente","2017","66 anni","Uomo","Celibe/nubile",3917
"Popolazione residente permanente","2017","66 anni","Uomo","Coniugato, in unione domestica registrata",29605
"Popolazione residente permanente","2017","66 anni","Uomo","Vedovo, unione domestica sciolta per decesso",1171
"Popolazione residente permanente","2017","66 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",6334
"Popolazione residente permanente","2017","66 anni","Uomo","Senza indicazione",4
"Popolazione residente permanente","2017","66 anni","Donna","Celibe/nubile",3799
